timestamp,level,service,event_type,username,store_id,region,ip_address,result,message,request_id
2026-09-04T02:55:49Z,INFO,warehouse-wms,login_success,mreyes,store-221,us-west,57.255.198.234,success,user authenticated successfully,c8295d79-93fa-44ba-b127-25df9f9a53ea
2026-09-04T03:13:23Z,WARN,vendor-portal,login_failure,dnguyen,store-057,us-central,106.192.41.175,failure,invalid credentials provided,6262102f-3899-4ecc-9ba7-2869e02a6f5f
2026-09-04T03:13:50Z,WARN,vendor-portal,login_failure,admin_rgomez,store-221,us-west,59.57.169.42,failure,invalid credentials provided,c02e9d33-61b1-4ccb-8864-221bd702b81e
2026-09-04T03:17:58Z,INFO,pos-terminal,login_success,beliot,store-104,us-east,67.71.52.174,success,user authenticated successfully,1c0b4761-12bc-45fe-8851-df1dc5d765d6
2026-09-04T03:18:55Z,INFO,pos-terminal,mfa_challenge,hkhan,store-309,eu-west,174.154.247.63,success,MFA one-time-passcode sent,7b58fd0d-365b-4647-bfd7-31c1a3f87fb2
2026-09-04T03:19:53Z,INFO,warehouse-wms,login_success,hkhan,store-104,us-east,16.167.113.166,success,user authenticated successfully,8d8ac218-af1a-41cf-aed9-561e58c7a1df
2026-09-04T03:21:17Z,WARN,warehouse-wms,mfa_failure,twright,store-309,eu-west,129.147.80.19,failure,MFA code did not match,2e6e9080-acaa-484e-a810-97acc1d98a67
2026-09-04T03:21:44Z,WARN,ecommerce-admin,login_failure,lchen,warehouse-west,us-west,41.102.71.61,failure,invalid credentials provided,3d1b29d2-7ecd-4cd4-9050-561572017fd8
2026-09-04T03:31:37Z,WARN,pos-terminal,login_failure,beliot,store-104,us-east,106.214.232.88,failure,invalid credentials provided,41ea397c-b0f1-4b8c-bb5f-764386259314
2026-09-04T03:36:09Z,INFO,pos-terminal,session_timeout,mreyes,store-221,us-west,94.36.121.72,success,session expired due to inactivity,074e916a-08fa-4a4a-8614-6e09fd968e55
2026-09-04T03:38:30Z,INFO,ecommerce-admin,login_success,kpatel,warehouse-east,us-east,13.208.47.58,success,user authenticated successfully,78d8ebab-7403-4aa8-8a3d-6a9d14d07cce
2026-09-04T03:43:02Z,INFO,vendor-portal,password_reset_success,svc-pos-sync,store-309,eu-west,124.165.161.39,success,password reset completed,f7f41d16-5bfa-4d79-a1e8-bedaa7932e34
2026-09-04T04:04:42Z,INFO,ecommerce-admin,login_success,dnguyen,online,global,56.84.224.12,success,user authenticated successfully,ca9e4917-bb33-4958-a147-d140af50aec5
2026-09-04T04:08:03Z,WARN,warehouse-wms,login_failure,lchen,online,global,140.250.153.122,failure,invalid credentials provided,58a79993-f1ae-477c-ad35-0f07e7010afd
2026-09-04T04:10:30Z,WARN,vendor-portal,privileged_access_granted,kpatel,store-221,us-west,157.160.97.196,success,elevated role granted to user,91a465cf-d832-4e6b-946a-0b7f28637afa
2026-09-04T04:20:09Z,WARN,vendor-portal,login_failure,dnguyen,warehouse-west,us-west,32.205.48.48,failure,invalid credentials provided,27c7574c-6ceb-4371-9fbe-f2fd9b8d548b
2026-09-04T04:23:21Z,INFO,vendor-portal,login_success,hkhan,online,global,159.73.118.119,success,user authenticated successfully,8b6abc80-c052-4994-bef3-386e10c72057
2026-09-04T04:25:58Z,INFO,ecommerce-admin,login_success,kpatel,store-104,us-east,172.166.195.153,success,user authenticated successfully,7a501192-fc75-41c8-8729-a9f6fab74b7c
2026-09-04T04:31:33Z,INFO,warehouse-wms,mfa_challenge,beliot,store-309,eu-west,130.111.126.175,success,MFA one-time-passcode sent,89fe0974-990f-4c05-86ad-9bcc68fc5bf6
2026-09-04T04:38:44Z,INFO,ecommerce-admin,login_success,twright,online,global,30.167.151.79,success,user authenticated successfully,051bde42-9b3a-42e4-a879-064be04fe441
2026-09-04T04:39:41Z,INFO,pos-terminal,password_reset_request,agomez,online,global,189.214.112.115,success,password reset requested by user,ad199fac-2bf0-4726-b97e-45ce3a1d6004
2026-09-04T04:43:11Z,ERROR,pos-terminal,account_locked,svc-pos-sync,warehouse-west,us-west,98.219.189.18,failure,account locked after repeated failed logins,5dc43b41-1a04-4555-8426-2af87cf985e2
2026-09-04T04:48:42Z,WARN,pos-terminal,mfa_failure,hkhan,warehouse-west,us-west,26.168.48.143,failure,MFA code did not match,85a469f4-307f-4264-8325-e2211c59448f
2026-09-04T04:49:31Z,INFO,vendor-portal,login_success,admin_rgomez,store-057,us-central,37.220.68.226,success,user authenticated successfully,0509fb4c-3994-42cd-920c-cd8b9adb15ff
2026-09-04T04:53:14Z,WARN,pos-terminal,login_failure,svc-warehouse-bot,online,global,102.39.57.16,failure,invalid credentials provided,7e802be4-abae-454d-8409-b2ce696a8954
2026-09-04T04:54:56Z,INFO,pos-terminal,login_success,agomez,warehouse-east,us-east,155.126.20.159,success,user authenticated successfully,00f3e78e-5f5a-48e3-a421-091fa04dfe7f
2026-09-04T05:07:32Z,INFO,warehouse-wms,password_reset_success,jsmith,warehouse-west,us-west,50.216.174.72,success,password reset completed,03110b30-111f-4c24-920a-835726a3f100
2026-09-04T05:11:13Z,INFO,ecommerce-admin,role_changed,agomez,store-309,eu-west,95.155.7.55,success,user role changed,8fef7181-63db-4593-9f75-fd7896d2fa05
2026-09-04T05:18:52Z,INFO,pos-terminal,login_success,svc-pos-sync,warehouse-west,us-west,11.180.152.193,success,user authenticated successfully,bcdea2f0-819e-4b46-84f9-14e7fc3bbe94
2026-09-04T05:21:48Z,WARN,ecommerce-admin,access_denied,twright,store-057,us-central,188.200.66.153,failure,user lacks permission for requested resource,f1d1fb83-742e-47c4-be01-eabce16905f0
2026-09-04T05:24:23Z,WARN,warehouse-wms,login_failure,admin_rgomez,store-309,eu-west,118.169.180.180,failure,invalid credentials provided,7c331a22-e2f4-4897-8d71-786c07e338d6
2026-09-04T05:26:22Z,INFO,ecommerce-admin,mfa_challenge,hkhan,store-221,us-west,164.172.21.212,success,MFA one-time-passcode sent,e0f5fbbe-9a76-454e-8e91-7c579044b2d1
2026-09-04T05:42:02Z,WARN,vendor-portal,access_denied,lchen,store-309,eu-west,47.148.21.74,failure,user lacks permission for requested resource,e2413719-a436-490a-b206-375e8a65028c
2026-09-04T05:46:00Z,WARN,ecommerce-admin,login_failure,svc-pos-sync,store-057,us-central,48.31.230.27,failure,invalid credentials provided,e5afd9a2-15c7-42cd-a9fe-a2df69cb1faf
