timestamp,metric_name,service,store_id,region,value
2026-09-04T02:45:00Z,iam_active_sessions,warehouse-wms,store-221,us-west,194
2026-09-04T02:45:00Z,iam_login_attempts_total,warehouse-wms,store-221,us-west,1
2026-09-04T03:00:00Z,iam_active_sessions,vendor-portal,store-057,us-central,40
2026-09-04T03:00:00Z,iam_login_attempts_total,vendor-portal,store-057,us-central,1
2026-09-04T03:00:00Z,iam_login_failures_total,vendor-portal,store-057,us-central,1
2026-09-04T03:00:00Z,iam_active_sessions,vendor-portal,store-221,us-west,207
2026-09-04T03:00:00Z,iam_login_attempts_total,vendor-portal,store-221,us-west,1
2026-09-04T03:00:00Z,iam_login_failures_total,vendor-portal,store-221,us-west,1
2026-09-04T03:15:00Z,iam_active_sessions,ecommerce-admin,warehouse-west,us-west,195
2026-09-04T03:15:00Z,iam_login_attempts_total,ecommerce-admin,warehouse-west,us-west,1
2026-09-04T03:15:00Z,iam_login_failures_total,ecommerce-admin,warehouse-west,us-west,1
2026-09-04T03:15:00Z,iam_active_sessions,pos-terminal,store-104,us-east,181
2026-09-04T03:15:00Z,iam_login_attempts_total,pos-terminal,store-104,us-east,1
2026-09-04T03:15:00Z,iam_active_sessions,pos-terminal,store-309,eu-west,190
2026-09-04T03:15:00Z,iam_mfa_challenges_total,pos-terminal,store-309,eu-west,1
2026-09-04T03:15:00Z,iam_active_sessions,warehouse-wms,store-104,us-east,25
2026-09-04T03:15:00Z,iam_login_attempts_total,warehouse-wms,store-104,us-east,1
2026-09-04T03:15:00Z,iam_active_sessions,warehouse-wms,store-309,eu-west,133
2026-09-04T03:15:00Z,iam_mfa_challenges_total,warehouse-wms,store-309,eu-west,1
2026-09-04T03:30:00Z,iam_active_sessions,ecommerce-admin,warehouse-east,us-east,30
2026-09-04T03:30:00Z,iam_login_attempts_total,ecommerce-admin,warehouse-east,us-east,1
2026-09-04T03:30:00Z,iam_active_sessions,pos-terminal,store-104,us-east,93
2026-09-04T03:30:00Z,iam_login_attempts_total,pos-terminal,store-104,us-east,1
2026-09-04T03:30:00Z,iam_login_failures_total,pos-terminal,store-104,us-east,1
2026-09-04T03:30:00Z,iam_active_sessions,pos-terminal,store-221,us-west,18
2026-09-04T03:30:00Z,iam_active_sessions,vendor-portal,store-309,eu-west,116
2026-09-04T03:30:00Z,iam_password_reset_requests_total,vendor-portal,store-309,eu-west,1
2026-09-04T04:00:00Z,iam_active_sessions,ecommerce-admin,online,global,64
2026-09-04T04:00:00Z,iam_login_attempts_total,ecommerce-admin,online,global,1
2026-09-04T04:00:00Z,iam_active_sessions,vendor-portal,store-221,us-west,24
2026-09-04T04:00:00Z,iam_privileged_access_changes_total,vendor-portal,store-221,us-west,1
2026-09-04T04:00:00Z,iam_active_sessions,warehouse-wms,online,global,219
